Alabama|72.1239863779691
Alaska|69.4195010084823
Arizona|70.8284504465918
Arkansas|71.6245794740457
California|70.8975069030083
Colorado|71.8421234712103
Connecticut|73.1662687633287
Delaware|72.9120165789963
District of Columbia|77.2495234402766
Florida|74.9930694799181
Georgia|70.2296467960124
Hawaii|73.8506337215166
Idaho|68.7160930049301
Illinois|71.7193379779019
Indiana|70.9435477175653
Iowa|71.7019076093218
Kansas|70.2755308867867
Kentucky|72.5314840522175
Louisiana|71.1826572113197
Maine|75.7032510778717
Maryland|72.5936421367867
Massachusetts|73.840907897272
Michigan|72.2063753233461
Minnesota|71.919692540103
Mississippi|70.1981926187347
Missouri|72.1943842752785
Montana|73.5292437256119
Nebraska|70.5568890814088
Nevada|71.9431932318344
New Hampshire|74.30109264862
New Jersey|72.8965758373192
New Mexico|70.865850056334
New York|73.4916839712155
North Carolina|72.0263994695736
North Dakota|72.6929929608318
Ohio|72.448807976635
Oklahoma|71.0198794290838
Oregon|73.7227035938152
Pennsylvania|73.8494381803818
Rhode Island|73.8052588597872
South Carolina|72.4970406654929
South Dakota|70.925444970999
Tennessee|72.613651048074
Texas|68.5782312877398
Utah|63.9609117141561
Vermont|74.65639523007
Virginia|72.721171652281
Washington|72.8296576991638
West Virginia|75.1798471945779
Wisconsin|72.4583845825533
Wyoming|72.1067548417572
